sku,currency,price_level,min_quantity,unit_price,id
FB : FB-USL,USA,EQP,1,0.8,164
FB : FB-USL,USA,Net Price,0,0.8,165
FB : FB-USL,USA,Net Price,1,0.8,166
FB : FB-USL,USA,Online Price,0,1,167
FB : FB-USL,USA,Online Price,1,1,168
FB : FB-IBL,USA,EQP,0,0.8,169
FB : FB-IBL,USA,EQP,1,0.8,170
FB : FB-IBL,USA,Net Price,0,0.8,171
FB : FB-IBL,USA,Net Price,1,0.8,172
FB : FB-IBL,USA,Online Price,0,1,173
FB : FB-IBL,USA,Online Price,1,1,174
FB : FB-USK,USA,EQP,0,0.8,175
FB : FB-USK,USA,EQP,1,0.8,176
FB : FB-USK,USA,Net Price,0,0.8,177
FB : FB-USK,USA,Net Price,1,0.8,178
FB : FB-USK,USA,Online Price,0,1,179
FB : FB-USK,USA,Online Price,1,1,180
FB : FB-SNBK,USA,EQP,0,1,181
FB : FB-SNBK,USA,EQP,1,1,182
FB : FB-SNBK,USA,Net Price,0,1,183
FB : FB-SNBK,USA,Net Price,1,1,184
FB : FB-SNBK,USA,Online Price,0,1.25,185
FB : FB-SNBK,USA,Online Price,1,1.25,186
FB : FB-SNRD,USA,EQP,0,1.2,187
FB : FB-SNRD,USA,EQP,1,1.2,188
FB : FB-SNRD,USA,Net Price,0,1.2,189
FB : FB-SNRD,USA,Net Price,1,1.2,190
FB : FB-SNRD,USA,Online Price,0,1.5,191
FB : FB-SNRD,USA,Online Price,1,1.5,192
FB : FB-SNSL,USA,EQP,0,1.2,193
FB : FB-SNSL,USA,EQP,1,1.2,194
FB : FB-SNSL,USA,Net Price,0,1.2,195
FB : FB-SNSL,USA,Net Price,1,1.2,196
FB : FB-SNSL,USA,Online Price,0,1.5,197
FB : FB-SNSL,USA,Online Price,1,1.5,198
FB : FB-IBK,USA,EQP,0,0.8,199
FB : FB-IBK,USA,EQP,1,0.8,200
FB : FB-IBK,USA,Net Price,0,0.8,201
FB : FB-IBK,USA,Net Price,1,0.8,202
FB : FB-IBK,USA,Online Price,0,1,203
FB : FB-IBK,USA,Online Price,1,1,204
FB : FB-IBZ,USA,EQP,0,0.8,205
FB : FB-IBZ,USA,EQP,1,0.8,206
FB : FB-IBZ,USA,Net Price,0,0.8,207
FB : FB-IBZ,USA,Net Price,1,0.8,208
FB : FB-IBZ,USA,Online Price,0,1,209
FB : FB-IBZ,USA,Online Price,1,1,210
