id,name,hex_code,r,g,b
287,276,#2b2147,,,
288,2765,#2b0c56,,,
289,2766,#2b265b,,,
290,2767,#14213d,,,
291,2768,#112151,,,
292,277,#b5d1e8,,,
293,278,#99badd,,,
294,279,#6689cc,,,
295,280,#002b7f,,,
296,281,#00205B,,,
297,282,#002654,,,
1399,282 U,#434967,67,73,103
298,283,#9bc4e2,,,
299,284,#75aadb,,,
300,285,#3a75c4,,,
301,286,#0038a8,,,
1388,286,#0033A0,0,51,160
302,287,#003893,,,
303,288,#00337f,,,
304,289,#002649,,,
305,290,#c4d8e2,,,
306,2905,#93c6e0,,,
307,291,#a8cee2,,,
308,2915,#60afdd,,,
309,292,#75b2dd,,,
310,2925,#008ed6,,,
311,293,#0051ba,,,
312,2935,#005bbf,,,
313,294,#003f87,,,
314,2945,#0054a0,,,
315,295,#00386b,,,
316,2955,#003d6b,,,
317,296,#002d47,,,
318,2965,#00334c,,,
319,297,#82c6e2,,,
320,2975,#bae0e2,,,
321,298,#51b5e0,,,
322,2985,#51bfe2,,,
323,299,#00a3dd,,,
324,2995,#00a5db,,,
325,300,#0072c6,,,
326,3005,#0084c9,,,
327,301,#005b99,,,
328,3015,#00709e,,,
329,302,#004f6d,,,
330,3025,#00546b,,,
331,303,#003f54,,,
332,3035,#004454,,,
333,304,#a5dde2,,,
334,305,#70cee2,,,
335,306,#00bce2,,,
336,307,#007aa5,,,
337,308,#00607c,,,
338,309,#003f49,,,
339,310,#72d1dd,,,
340,3105,#7fd6db,,,
341,311,#28c4d8,,,
342,3115,#2dc6d6,,,
343,312,#00adc6,,,
344,3125,#00b7c6,,,
345,313,#0099b5,,,
346,3135,#009baa,,,
347,314,#00829b,,,
348,3145,#00848e,,,
349,315,#006b77,,,
350,3155,#006d75,,,
351,316,#00494f,,,
352,3165,#00565b,,,
353,317,#c9e8dd,,,
354,318,#93dddb,,,
355,319,#4cced1,,,
356,320,#009ea0,,,
357,321,#008789,,,
358,322,#007272,,,
359,323,#006663,,,
360,324,#aaddd6,,,
361,3242,#87ddd1,,,
362,3245,#8ce0d1,,,
363,3248,#7ad3c1,,,
364,325,#56c9c1,,,
365,3252,#56d6c9,,,
366,3255,#47d6c1,,,
367,3258,#35c4af,,,
368,326,#00b2aa,,,
369,3262,#00c1b5,,,
370,3265,#00c6b2,,,
371,3268,#00af99,,,
372,327,#008c82,,,
373,3272,#00aa9e,,,
374,3275,#00b2a0,,,
375,3278,#009b84,,,
376,328,#007770,,,
377,3282,#008c82,,,
378,3285,#009987,,,
379,3288,#008270,,,
380,329,#006d66,,,
381,3292,#006056,,,
382,3295,#008272,,,
383,3298,#006b5b,,,
384,330,#005951,,,
385,3302,#00493f,,,
386,3305,#004f42,,,
387,3308,#004438,,,
388,331,#baead6,,,
389,332,#a0e5ce,,,
390,333,#5eddc1,,,
391,334,#00997c,,,
392,335,#007c66,,,
393,336,#006854,,,
394,337,#9bdbc1,,,
395,3375,#8ee2bc,,,
396,338,#7ad1b5,,,
397,3385,#54d8a8,,,
398,339,#00b28c,,,
399,3395,#00c993,,,
400,340,#009977,,,
401,3405,#00b27a,,,
402,341,#007a5e,,,
403,3415,#007c59,,,
404,342,#006b54,,,
405,3425,#006847,,,
406,343,#00563f,,,
407,3435,#024930,,,
408,344,#b5e2bf,,,
409,345,#96d8af,,,
410,346,#70ce9b,,,
411,347,#009e60,,,
412,348,#008751,,,
413,349,#006b3f,,,
414,350,#234f33,,,
1414,3500,#006B38,0,107,56
415,351,#b5e8bf,,,
1403,3514,#F1B300,241,179,0
417,353,#84e2a8,,,
418,354,#00b760,,,
419,355,#009e49,,,
420,356,#007a3d,,,
1410,3561,#79C000,121,192,0
421,357,#215b33,,,
422,358,#aadd96,,,
423,359,#a0db8e,,,
424,360,#60c659,,,
425,361,#43B02A,,,
426,362,#339e35,,,
427,363,#3d8e33,,,
428,364,#3a7728,,,
429,365,#d3e8a3,,,
430,366,#c4e58e,,,
431,367,#aadd6d,,,
432,368,#5bbf21,,,
433,369,#56aa1c,,,
434,370,#568e14,,,
435,371,#566b21,,,
436,372,#d8ed96,,,
437,373,#ceea82,,,
438,374,#bae860,,,
439,375,#8cd600,,,
440,376,#7fba00,,,
441,377,#709302,,,
442,378,#566314,,,
443,379,#e0ea68,,,
444,380,#d6e542,,,
445,381,#cce226,,,
446,382,#bad80a,,,
447,383,#a3af07,,,
448,384,#939905,,,
449,385,#707014,,,
450,386,#e8ed60,,,
451,387,#e0ed44,,,
452,388,#E0E721,,,
453,389,#cee007,,,
454,390,#bac405,,,
455,391,#9e9e07,,,
456,392,#848205,,,
457,393,#f2ef87,,,
458,3935,#f2ed6d,,,
459,394,#eaed35,,,
460,3945,#efea07,,,
461,395,#e5e811,,,
462,3955,#ede211,,,
463,396,#e0e20c,,,
464,3965,#e8dd11,,,
465,397,#c1bf0a,,,
466,3975,#b5a80c,,,
467,398,#afa80a,,,
468,3985,#998c0a,,,
469,399,#998e07,,,
470,3995,#6d6002,,,
471,400,#d1c6b5,,,
472,401,#c1b5a5,,,
473,402,#afa593,,,
474,403,#998c7c,,,
475,404,#827566,,,
476,405,#6b5e4f,,,
477,406,#cec1b5,,,
478,408,#a8998c,,,
479,409,#99897c,,,
480,410,#7c6d63,,,
481,411,#66594c,,,
482,412,#3d3028,,,
483,413,#c6c1b2,,,
484,414,#b5afa0,,,
485,415,#a39e8c,,,
486,416,#8e8c7a,,,
487,417,#777263,,,
488,418,#605e4f,,,
489,419,#282821,,,
490,420,#d1ccbf,,,
491,421,#bfbaaf,,,
492,422,#afaaa3,,,
493,423,#96938e,,,
494,424,#827f77,,,
495,425,#60605b,,,
496,426,#2b2b28,,,
497,427,#dddbd1,,,
498,428,#d1cec6,,,
499,429,#adafaa,,,
500,430,#919693,,,
501,431,#666d70,,,
502,432,#444f51,,,
503,433,#30383a,,,
504,434,#e0d1c6,,,
505,435,#d3bfb7,,,
